5000 Exchange(comparisons):, 127991,139316,139014,127538,139316,125969,130662,122527,143112,144408,132566,133775,129994,141805,140273,144724,132618,125257,127170,141919,
5100 Exchange(comparisons):, 137417,129560,126543,126977,134130,137349,135719,130062,133291,131560,140160,133398,124568,136263,139621,129849,124613,128080,135962,129910,
5200 Exchange(comparisons):, 132815,135081,133509,146455,121236,132027,128252,122432,127639,128740,136000,147870,130286,129627,126822,141404,125303,132235,133170,129209,
5300 Exchange(comparisons):, 142930,124694,129234,127686,134255,134500,133948,141398,128361,121943,136464,128818,122540,123799,126277,130363,132298,122317,125803,141971,
5400 Exchange(comparisons):, 131093,126221,138513,138263,144431,132431,130318,129969,121423,127652,129833,128793,126697,125925,129759,130867,131017,133811,131894,120471,
5500 Exchange(comparisons):, 133126,142279,127595,124001,129963,133044,130942,130480,138082,142135,128236,148414,128910,126821,129660,119964,123799,131660,135945,126982,
5600 Exchange(comparisons):, 135638,137061,139630,118346,130832,126283,123148,132916,134667,128677,132099,130186,127272,128650,130555,128214,126543,139166,128885,132818,
5700 Exchange(comparisons):, 140474,129031,125770,128213,134265,129144,127269,123073,146294,131629,137853,151444,135374,133766,136269,126067,124590,123016,140450,132217,
5800 Exchange(comparisons):, 132932,134244,128671,142278,133031,127278,126468,137507,140610,132635,133440,132166,134669,135263,130971,118266,128266,132758,132936,142943,
5900 Exchange(comparisons):, 128026,129514,133755,129472,149618,137717,130039,134294,136635,129921,134905,152475,126845,131434,125429,129144,126731,135106,124121,138236,
6000 Exchange(comparisons):, 125516,127785,137616,137214,136167,123911,129677,123945,134779,127938,128255,125895,126633,121316,124698,130635,135821,147259,135047,125228,
6100 Exchange(comparisons):, 128794,129177,133053,132312,139128,126259,131935,135882,122544,130179,128863,133168,128638,129936,133442,141244,130534,132945,131799,129040,
6200 Exchange(comparisons):, 142776,136913,126254,131267,145564,123814,138452,130773,137488,133363,124450,133492,137279,128852,136153,127954,132286,133637,126015,138166,
6300 Exchange(comparisons):, 138358,133239,151859,135014,138075,137247,135409,135455,128018,134791,130202,125541,124693,122480,134876,127793,127245,123547,124987,128746,
6400 Exchange(comparisons):, 126954,128285,138173,141797,120099,122260,129511,125279,148091,132164,123908,131873,134186,125956,149178,132504,140805,129799,120773,121495,
6500 Exchange(comparisons):, 131915,119946,133710,134331,129318,137426,139810,131770,134275,129306,124248,124684,138276,135679,141176,137952,123819,125250,124290,135111,
6600 Exchange(comparisons):, 137616,130081,143843,134270,143005,137622,140417,137733,139547,126133,133013,128863,129852,130517,136995,139673,137393,141164,123319,126565,
6700 Exchange(comparisons):, 136151,145114,132538,127600,131444,132687,143014,133788,135844,134259,130631,139267,139532,122695,125323,132372,127359,129169,139368,140310,
6800 Exchange(comparisons):, 134178,127558,133751,126158,124716,135804,122625,130294,133495,141989,131892,130290,128705,128560,123836,126704,124759,124235,130791,129197,
6900 Exchange(comparisons):, 128269,125724,137106,124979,146771,137855,127809,134632,129737,143773,130084,122389,121544,127713,123091,129913,134737,128729,136127,129656,
7000 Exchange(comparisons):, 126172,143749,136708,138962,130627,124248,120665,128229,131814,124446,125724,133455,132681,138800,132385,121138,134526,124836,130536,150365,
