
Removal Distance (2200 inserts),41.625,41.525,41.099999999999994,40.849999999999994,41.225,41.775,41.3,41.375,40.849999999999994,41.675000000000004,41.425,41.699999999999996,41.625,41.175,41.275,41.825,41.325,41.25,40.925,41.4,41.425,40.925,40.65,41.699999999999996,41.275,40.849999999999994,40.675,41.375,41.449999999999996,41.625,41.6,41.3,40.725,41.075,40.825,40.9,41.199999999999996,41.625,41.475,41.025,41.225,41.275,41.449999999999996,40.825,41.9,41.225,41.575,41.5,41.425,41.925000000000004,
Removal Distance (2300 inserts),38.9,39.050000000000004,39.074999999999996,38.925,38.275,39.25,39.65,39.275,38.9,39.300000000000004,38.9,38.85,38.574999999999996,39.15,39.15,38.9,39.25,39.35,38.725,38.550000000000004,39.0,39.025,39.300000000000004,39.2,38.625,39.074999999999996,38.9,39.300000000000004,39.025,39.025,39.175,38.925,38.675,39.25,38.625,39.35,38.574999999999996,39.324999999999996,38.824999999999996,39.275,39.175,38.925,39.15,38.5,39.1,39.35,38.725,39.225,38.824999999999996,39.225,
Removal Distance (2400 inserts),36.275,37.225,36.875,37.125,37.075,36.95,37.35,37.05,37.175000000000004,37.175000000000004,37.3,36.9,37.6,36.575,37.075,36.775000000000006,37.1,36.85,37.075,37.2,36.1,36.7,36.675000000000004,36.35,37.15,37.125,37.15,36.75,37.05,36.425000000000004,36.975,37.15,37.175000000000004,36.95,36.75,37.025000000000006,37.05,36.8,36.675000000000004,36.85,36.725,37.225,37.0,36.65,37.35,37.0,36.75,37.0,36.625,37.075,
Removal Distance (2500 inserts),34.949999999999996,34.5,34.9,35.099999999999994,34.725,34.625,35.225,35.075,35.0,34.75,34.775,34.4,34.8,35.199999999999996,34.699999999999996,34.775,34.975,34.849999999999994,34.675,34.75,34.849999999999994,34.55,35.325,34.949999999999996,34.525,34.4,34.949999999999996,34.925,35.075,34.599999999999994,34.925,34.9,34.625,34.9,35.0,34.525,35.05,34.875,34.849999999999994,34.875,34.8,34.775,35.099999999999994,34.65,34.825,34.699999999999996,34.8,34.599999999999994,34.8,34.55,
Removal Distance (2600 inserts),32.675,32.2,32.65,32.425,32.45,32.6,32.95,32.45,32.6,32.5,33.300000000000004,32.85,32.525,32.475,32.800000000000004,32.45,32.85,32.574999999999996,32.975,32.725,32.925,32.775,33.074999999999996,32.6,32.525,32.725,32.7,32.324999999999996,32.875,32.800000000000004,32.875,32.675,32.7,32.574999999999996,32.625,32.5,32.824999999999996,32.375,32.875,32.725,32.525,32.425,32.925,32.824999999999996,32.625,32.625,32.725,33.125,32.95,32.775,
Removal Distance (2700 inserts),30.4,30.775000000000002,30.775000000000002,30.575000000000003,30.675,30.4,30.725,30.2,30.15,30.525000000000002,30.575000000000003,30.475,30.4,30.5,30.625000000000004,30.675,30.45,30.275000000000002,30.575000000000003,30.525000000000002,30.75,30.55,30.625000000000004,30.475,30.15,30.65,30.45,30.5,30.775000000000002,30.725,30.475,30.7,30.3,30.7,30.325000000000003,30.25,30.525000000000002,31.15,30.3,30.925000000000004,30.349999999999998,30.725,30.725,30.075000000000003,30.375000000000004,30.475,30.7,30.475,30.625000000000004,30.8,
Removal Distance (2800 inserts),28.225,28.125,28.325,28.15,28.325,28.275,28.225,28.525,28.375,28.475,28.325,28.499999999999996,28.15,28.125,28.625,28.15,28.449999999999996,28.1,28.050000000000004,28.325,28.349999999999998,28.349999999999998,27.950000000000003,28.475,28.375,28.199999999999996,28.15,28.65,27.85,28.275,28.425,28.249999999999996,28.475,28.349999999999998,28.475,28.325,28.249999999999996,28.349999999999998,28.349999999999998,28.4,28.65,28.175,28.549999999999997,28.249999999999996,28.1,28.599999999999998,28.599999999999998,28.375,28.449999999999996,28.249999999999996,
Removal Distance (2900 inserts),26.35,26.025,26.575,26.400000000000002,26.375,26.275,26.0,26.1,26.224999999999998,26.25,26.0,26.125,26.450000000000003,26.125,26.025,26.075,26.05,26.200000000000003,26.125,26.224999999999998,26.125,26.025,26.150000000000002,26.150000000000002,25.7,26.174999999999997,26.0,26.125,26.125,25.874999999999996,26.3,25.724999999999998,26.200000000000003,25.85,26.224999999999998,26.1,25.95,26.1,26.075,26.025,26.200000000000003,25.775,26.474999999999998,26.224999999999998,25.900000000000002,26.150000000000002,26.3,26.5,25.974999999999998,25.825,
Removal Distance (3000 inserts),24.075,23.95,23.525,23.825,23.825,23.974999999999998,23.875,24.0,24.025,23.7,23.875,23.549999999999997,23.825,24.0,24.0,23.575,24.05,23.775,23.825,23.974999999999998,23.724999999999998,23.95,23.9,24.175,23.75,23.799999999999997,24.099999999999998,23.974999999999998,23.799999999999997,23.849999999999998,23.825,23.825,24.099999999999998,24.025,23.9,23.974999999999998,23.825,24.025,23.849999999999998,24.025,23.75,23.9,24.05,23.825,24.025,23.875,23.849999999999998,23.974999999999998,23.75,23.849999999999998,
Removal Distance (3100 inserts),21.575,21.349999999999998,21.45,21.775,21.775,21.3,21.625,21.7,21.725,21.65,21.55,21.775,21.825,21.55,21.9,21.8,21.75,21.575,21.675,21.525,21.725,21.7,21.775,21.9,21.525,21.725,21.65,21.475,21.5,21.6,21.525,21.575,21.6,21.55,21.525,21.725,21.8,21.7,21.7,21.3,21.725,21.3,21.55,21.75,21.475,21.6,21.224999999999998,21.575,21.7,21.6,
Removal Distance (3200 inserts),19.400000000000002,19.375,19.45,19.275000000000002,19.400000000000002,19.25,19.275000000000002,19.35,19.475,19.25,19.425,19.15,19.225,19.125,19.375,19.35,19.3,19.75,19.3,19.45,19.3,19.375,19.325,19.25,19.375,19.3,19.275000000000002,19.400000000000002,19.175,19.375,19.400000000000002,19.375,19.3,19.325,19.15,19.375,19.25,19.45,19.575,19.025,19.3,19.225,19.375,19.2,19.325,19.425,19.175,19.575,19.1,19.35,
Removal Distance (3300 inserts),17.0,16.75,17.2,16.875,16.950000000000003,17.175,17.175,17.025000000000002,17.0,17.075000000000003,16.900000000000002,16.900000000000002,16.825000000000003,16.825000000000003,16.85,16.8,16.975,17.075000000000003,17.05,17.1,17.125,17.2,16.925,17.1,16.725,17.05,17.025000000000002,16.900000000000002,16.900000000000002,17.175,16.975,17.275,17.150000000000002,16.875,17.25,16.950000000000003,17.0,16.85,16.925,17.1,17.0,16.925,16.75,17.075000000000003,17.1,16.950000000000003,17.0,17.05,17.025000000000002,17.224999999999998,
Removal Distance (3400 inserts),14.7,15.0,14.6,14.6,14.774999999999999,14.549999999999999,14.475,14.524999999999999,14.6,14.825,14.825,14.825,14.7,14.674999999999999,14.625,14.75,14.625,14.649999999999999,14.725,14.524999999999999,14.85,14.674999999999999,14.85,14.75,14.725,14.649999999999999,14.725,14.649999999999999,14.274999999999999,14.75,14.625,14.774999999999999,14.499999999999998,14.6,14.774999999999999,14.625,14.725,14.625,14.875,14.725,14.725,14.799999999999999,14.799999999999999,14.899999999999999,14.95,14.825,14.899999999999999,14.725,14.575,14.825,
Removal Distance (3500 inserts),12.375,12.475,12.325,12.275,12.325,12.575,12.2,12.225,12.575,12.625,12.375,12.425,12.525,12.325,12.225,12.45,12.325,12.4,12.4,12.25,12.25,12.25,12.275,12.425,12.35,12.55,12.325,12.375,12.375,12.425,12.35,12.35,12.375,12.15,12.475,12.25,12.325,12.325,12.3,12.35,12.425,12.275,12.15,12.125,12.425,12.45,12.25,12.45,12.425,12.425,
Removal Distance (3600 inserts),10.125,10.0,10.100000000000001,10.125,10.15,10.075000000000001,10.05,9.9,10.075000000000001,9.950000000000001,10.025,9.925,10.15,9.85,9.975000000000001,9.925,10.05,10.2,9.975000000000001,10.0,9.975000000000001,9.875,10.174999999999999,9.975000000000001,10.225,10.100000000000001,10.075000000000001,10.0,10.15,10.0,10.0,10.174999999999999,9.85,10.025,9.9,9.975000000000001,10.025,10.05,10.25,9.950000000000001,10.125,10.100000000000001,10.174999999999999,9.825000000000001,9.925,10.0,9.975000000000001,10.100000000000001,10.05,9.975000000000001,
Removal Distance (3700 inserts),7.6499999999999995,7.8,7.6,7.6499999999999995,7.725,7.7,7.8,7.6,7.675,7.6,7.775,7.85,7.7,7.8,7.675,7.6,7.675,7.7,7.7,7.7,7.55,7.725,7.75,7.725,7.6499999999999995,7.725,7.725,7.55,7.6499999999999995,7.6,7.825,7.6,7.8,7.625,7.625,7.75,7.7,7.775,7.8,7.625,7.625,7.625,7.7,7.75,7.8,7.625,7.7,7.625,7.5,7.6,
Removal Distance (3800 inserts),5.35,5.575,5.4,5.45,5.25,5.375,5.35,5.325,5.325,5.475,5.425,5.45,5.55,5.375,5.375,5.325,5.375,5.375,5.45,5.4,5.2749999999999995,5.5,5.475,5.75,5.4,5.5,5.5,5.35,5.35,5.3,5.35,5.425,5.25,5.4,5.4,5.55,5.425,5.3,5.2,5.4,5.45,5.4,5.375,5.525,5.6000000000000005,5.375,5.55,5.25,5.2749999999999995,5.625,
Removal Distance (3900 inserts),3.325,3.25,3.6249999999999996,3.325,3.4750000000000005,3.35,3.5249999999999995,3.3000000000000003,3.35,3.5749999999999997,3.45,3.4000000000000004,3.5999999999999996,3.4250000000000003,3.325,3.2750000000000004,3.65,3.3000000000000003,3.5749999999999997,3.65,3.4000000000000004,3.5000000000000004,3.4000000000000004,3.5249999999999995,3.5749999999999997,3.375,3.325,3.4750000000000005,3.4250000000000003,3.375,3.375,3.325,3.675,3.4250000000000003,3.75,3.35,3.5249999999999995,3.35,3.3000000000000003,3.7249999999999996,3.25,3.4750000000000005,3.4750000000000005,3.4250000000000003,3.2750000000000004,3.55,3.4000000000000004,3.4000000000000004,3.5999999999999996,3.375,
